,asset0price,asset1price
264,1.1405198619,1.14051962358
265,1.14082881087,1.14082857223
266,1.14113677436,1.1411365354
267,1.14144375698,1.14144351769
268,1.1417497633,1.1417495237
269,1.14205479787,1.14205455796
270,1.14235886523,1.142358625
271,1.14266196986,1.14266172932
272,1.14296411624,1.14296387538
273,1.14326530879,1.14326506763
274,1.14356555194,1.14356531047
275,1.14386485006,1.14386460829
276,1.14416320752,1.14416296545
277,1.14446062865,1.14446038628
278,1.14475711776,1.14475687509
279,1.14505267911,1.14505243614
280,1.14534731697,1.14534707371
281,1.14564103555,1.145640792
282,1.14593383907,1.14593359522
283,1.14622573169,1.14622548756
284,1.14651671756,1.14651647314
285,1.14680680082,1.14680655611
286,1.14709598555,1.14709574056
287,1.14738427583,1.14738403057
288,1.14767167572,1.14767143018
289,1.14795818924,1.14795794342
290,1.14824382039,1.14824357429
291,1.14852857315,1.14852832678
292,1.14881245147,1.14881220482
293,1.14909545928,1.14909521237
294,1.14937760049,1.14937735331
295,1.14965887898,1.14965863153
296,1.14993929862,1.1499390509
297,1.15021886323,1.15021861524
298,1.15049757663,1.15049732838
299,1.15077544262,1.15077519411
300,1.15105246496,1.15105221619
301,1.15132864739,1.15132839837
302,1.15160399366,1.15160374438
303,1.15187850745,1.15187825791
304,1.15215219244,1.15215194266
305,1.1524250523,1.15242480227
306,1.15269709067,1.15269684039
307,1.15296831116,1.15296806063
308,1.15323871736,1.15323846658
309,1.15350831285,1.15350806183
310,1.15377710118,1.15377684992
311,1.15404508589,1.15404483438
312,1.15431227048,1.15431201874
313,1.15457865845,1.15457840647
314,1.15484425327,1.15484400105
315,1.15510905839,1.15510880594
316,1.15537307724,1.15537282455
317,1.15563631323,1.15563606031
318,1.15589876976,1.15589851661
319,1.15616045019,1.15616019681
320,1.15642135788,1.15642110427
321,1.15668149616,1.15668124233
322,1.15694086834,1.15694061429
323,1.15719947773,1.15719922345
324,1.15745732759,1.15745707309
325,1.15771442119,1.15771416647
326,1.15797076175,1.15797050682
327,1.15822635252,1.15822609736
328,1.15848119667,1.1584809413
329,1.15873529741,1.15873504182
330,1.15898865789,1.15898840209
331,1.15924128127,1.15924102525
332,1.15949317066,1.15949291444
333,1.1597443292,1.15974407277
334,1.15999475996,1.15999450332
335,1.16024446603,1.16024420919
336,1.16049345047,1.16049319342
337,1.16074171632,1.16074145907
338,1.1609892666,1.16098900915
339,1.16123610433,1.16123584668
340,1.1614822325,1.16148197465
341,1.16172765408,1.16172739603
342,1.16197237203,1.16197211378
343,1.16221638929,1.16221613085
344,1.1624597088,1.16245945016
345,1.16270233345,1.16270207462
346,1.16294426614,1.16294400712
347,1.16318550975,1.16318525054
348,1.16342606715,1.16342580775
349,1.16366594117,1.16366568158
350,1.16390513464,1.16390487487
351,1.16414365039,1.16414339043
352,1.16438149121,1.16438123106
353,1.16461865987,1.16461839955
354,1.16485515916,1.16485489866
355,1.16509099183,1.16509073114
356,1.16532616061,1.16532589974
357,1.16556066822,1.16556040717
358,1.16579451737,1.16579425615
359,1.16602771076,1.16602744936
